Hasil Pilkada,Jumlah Paslon,Nama Daerah,Jalur Pencalonan,Nama Kandidat (1),Nama Kandidat (2),Gender (1),Gender (2),Usia (1),Usia (2),Latar Belakang Profesi (1),Latar Belakang Profesi (2),Petahana? (1),Petahana? (2),Jumlah PARPOL Pendukung,Persentase PARPOL Pendukung,Jumlah Kursi Pendukung (DPR),Jumlah Kursi Pendukung (DPRD)
Menang,2,KOTA JAMBI (JAMBI)  ,PARPOL,"DR. H. SYARIF FASHA, ME","DR. DR. H. MAULANA, MKM",L,L,50,42,SIPIL,SIPIL,1,0,10,0.833,0.720,0.756
Menang,4,SUMATERA SELATAN  ,PARPOL,"H. HERMAN DERU, SH, MM",IR. H. MAWARDI YAHYA,L,L,51,60,SIPIL,SIPIL,0,0,3,0.250,0.179,0.213
Kalah,4,SUMATERA SELATAN  ,PARPOL,"H. SAIFUDIN ASWARI RIVA'I, S.E","H.M. IRWANSYAH, S.SOS, M.SI",L,L,55,35,SIPIL,SIPIL,0,0,2,0.167,0.202,0.200
Kalah,4,SUMATERA SELATAN  ,PARPOL,"IR. H. ISHAK MEKKI, MM","YUDHA PRATOMO, M.SC. PH.D",L,L,60,39,SIPIL,SIPIL,2,0,3,0.250,0.179,0.200
Kalah,4,SUMATERA SELATAN  ,PARPOL,"H. DODI REZA ALEX NOERDIN, LIC, ECON. MBA","H.M GIRI RAMANDA N. KIEMAS SE, MM",L,L,48,38,SIPIL,SIPIL,0,0,3,0.250,0.441,0.387
Menang,3,OGAN KOMERING ILIR (SUMATERA SELATAN)  ,PARPOL,"H. ISKANDAR, SE",H. M. DJA'FAR SHODIQ,L,L,55,49,SIPIL,SIPIL,1,0,5,0.417,0.343,0.422
Kalah,3,OGAN KOMERING ILIR (SUMATERA SELATAN)  ,PARPOL,"ABDIYANTO, SH., MH","MADE INDRAWAN, ST., MH",L,L,46,42,SIPIL,SIPIL,0,0,1,0.083,0.195,0.200
Kalah,3,OGAN KOMERING ILIR (SUMATERA SELATAN)  ,PARPOL,AZHARI,QOMARUS ZAMAN,L,L,50,61,SIPIL,SIPIL,0,0,4,0.333,0.393,0.378
Kalah,4,MUARA ENIM (SUMATERA SELATAN)  ,PARPOL,"DR. IR. H. SYAMSUL BAHRI, MM","IR. H. HANAN ZULKARNAIN, MTP",L,L,59,55,SIPIL,SIPIL,0,0,4,0.333,0.280,0.311
Kalah,4,MUARA ENIM (SUMATERA SELATAN)  ,PARPOL,H. NURUL AMAN,M. THAMRIN AZ,L,L,59,49,SIPIL,SIPIL,2,0,2,0.167,0.264,0.244
Kalah,4,MUARA ENIM (SUMATERA SELATAN)  ,PARPOL,"DR. HJ. SHINTA PARAMITA SARI, SH, M.HUM","SYURYADI, SE",P,L,48,40,SIPIL,SIPIL,0,0,1,0.083,0.071,0.089
Menang,4,MUARA ENIM (SUMATERA SELATAN)  ,PARPOL,"IR. H. AHMAD YANI.,MM","H. JUARSAH, SH",L,L,53,51,SIPIL,SIPIL,0,0,3,0.250,0.221,0.244
Kalah,5,LAHAT (SUMATERA SELATAN)  ,PARPOL,"H. NOPRAN MARJANI, S. PD","HERLIANSYAH, SH., MH",L,L,46,44,SIPIL,SIPIL,0,0,4,0.333,0.466,0.350
Kalah,5,LAHAT (SUMATERA SELATAN)  ,PERORANGAN,"IR. H. HAPIT PADLI, MM","H. ERLANSYAH RUMSYAH, SE, MM",L,L,53,51,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Menang,5,LAHAT (SUMATERA SELATAN)  ,PARPOL,"CIK UJANG, SH","H. HARYANTO, SE, MM",L,L,50,59,SIPIL,SIPIL,0,0,3,0.250,0.202,0.275
Kalah,5,LAHAT (SUMATERA SELATAN)  ,PARPOL,"H. BURSAH ZARNUBI, SE","DRS. PARHAN BERZA, MM",L,L,59,53,SIPIL,SIPIL,0,0,3,0.250,0.332,0.275
Kalah,5,LAHAT (SUMATERA SELATAN)  ,PERORANGAN,"DRS. H. PURNAWARMAN KIAS, SH",ROZI ADIANSYAH,L,L,59,35,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Kalah,5,BANYUASIN (SUMATERA SELATAN)  ,PARPOL,DRS. AGUS YUDIANTORO,"H. HAZUAR BIDUI AZ, S. SOS., M.M",L,L,52,62,SIPIL,SIPIL,0,0,2,0.167,0.157,0.200
Kalah,5,BANYUASIN (SUMATERA SELATAN)  ,PARPOL,H. ARKONI MD,H. HAZWAR HAMID,L,L,56,49,SIPIL,SIPIL,0,0,2,0.167,0.113,0.222
Kalah,5,BANYUASIN (SUMATERA SELATAN)  ,PERORANGAN,BUYA H.M. HUSNI THAMRIN MADANI,IR. H. SUPARTIJO,L,L,65,63,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Kalah,5,BANYUASIN (SUMATERA SELATAN)  ,PARPOL,"IR. H. SYAIFUL BAKHRI AR,M.SI","H. AGUS SALAM, SH",L,L,56,51,SIPIL,SIPIL,0,0,2,0.167,0.163,0.200
Menang,5,BANYUASIN (SUMATERA SELATAN)  ,PARPOL,"H. ASKOLANI, SH., MH",H. SLAMET,L,L,44,68,SIPIL,SIPIL,0,0,5,0.417,0.568,0.378
Kalah,3,EMPAT LAWANG (SUMATERA SELATAN)  ,PARPOL,H. DAVID HADRIANTO ALJUFRI (HDA),"H. M. EDUAR KOHAR,SE.,MM (HEK)",L,L,46,56,SIPIL,SIPIL,0,0,3,0.250,0.357,0.457
